publishedAt,title,description,thumbnailurl
2018-11-18T16:00:07Z,Can This Chef Make Instant Ramen Fancy?,Check us out on Facebook! - facebook.com/buzzfeedtasty Credits: https://www.buzzfeed.com/bfmp/videos/67817 MUSIC Licensed via Audio Network SFX ...,https://i.ytimg.com/vi/w7CtP73taJA/default.jpg
2018-06-26T19:00:09Z,Silkiest Chocolate Tart,Check us out on Facebook! - facebook.com/buzzfeedtasty Credits: https://www.buzzfeed.com/bfmp/videos/60567 MUSIC Licensed via Audio Network.,https://i.ytimg.com/vi/ju6ARVSLd60/default.jpg
2018-10-12T15:00:06Z,Can These Chefs Create This Kid&#39;s Unicorn Dish?,"Tasty Chefs Alix and Rie compete to turn Lynnea's unicorn drawing into delicious, real-world desserts. Whose dish will be the most magical? Follow Alix on ...",https://i.ytimg.com/vi/o2RGudbzHLw/default.jpg
2018-12-22T16:00:04Z,How To Make Homemade Cinnamon Rolls • Tasty,"About Tasty: The official YouTube channel of all things Tasty, the world's largest food network. From recipes, world-class talent, and top-of-the-line cookware, we ...",https://i.ytimg.com/vi/_Q0FYoCl4Cs/default.jpg
2020-12-12T16:00:30Z,I Made A Giant 20-Pound Hot Dog • Tasty,"Tasty Tasty The official YouTube channel of all things Tasty, the world's largest food network. From recipes, world-class talent, and top-of-the-line cookware, we ...",https://i.ytimg.com/vi/rPZMABAWvDQ/default.jpg
2020-10-18T15:00:08Z,Can This Chef Cook A 3-Course Meal With A Toaster? • Tasty,"Tasty Tasty The official YouTube channel of all things Tasty, the world's largest food network. From recipes, world-class talent, and top-of-the-line cookware, we ...",https://i.ytimg.com/vi/bcIw8q2ieCI/default.jpg
2018-06-09T15:00:09Z,I Tried To Re-Create This Giant Ramen,"""OMG, that really is large!"" Shop the Tasty kitchenware collection here: http://bit.ly/2IooLS4 Check us out on Facebook! - facebook.com/buzzfeedtasty Credits: ...",https://i.ytimg.com/vi/iKI6z9dcjMg/default.jpg
2018-06-16T15:00:06Z,I Tried To Re-Create This Flaming Cheese Wheel Pasta,"""OMG, that's a lot of fire."" Shop the Tasty kitchenware collection here: http://bit.ly/2IooLS4 Check us out on Facebook! - facebook.com/buzzfeedtasty Credits: ...",https://i.ytimg.com/vi/S6enIZ2qxEo/default.jpg
2019-08-02T15:00:17Z,Can This Chef Make Twinkies Fancy? • Tasty,"About Tasty: The official YouTube channel of all things Tasty, the world's largest food network. From recipes, world-class talent, and top-of-the-line cookware, we ...",https://i.ytimg.com/vi/s-G74EQIwEQ/default.jpg
2019-03-02T16:00:03Z,I Tried To Re-Create This $180 Sandwich • Eating Your Feed • Tasty,"""I think I can do this, and I think it's going to be a really delicious day."" Eating Your Feed now has merch! Check it out: https://bzfd.it/shopeatingyourfeed ...",https://i.ytimg.com/vi/_wRA47V3abk/default.jpg
2018-02-04T17:00:23Z,4 Dinners From Tasty Japan,Here is what you'll need! GYOZA DUMPLINGS WITH WINGS Servings: 30 INGREDIENTS Gyoza Dumplings 150 grams (5.3 ounces) minced pork 1 teaspoon ...,https://i.ytimg.com/vi/sX_dZYL75vI/default.jpg
2020-11-28T16:00:30Z,I Made A Giant 100-Pound Boba Milk Tea • Tasty,"Tasty Tasty The official YouTube channel of all things Tasty, the world's largest food network. From recipes, world-class talent, and top-of-the-line cookware, we ...",https://i.ytimg.com/vi/uOJQbqwsfLg/default.jpg
2018-11-09T16:00:02Z,Can These Chefs Create A Kid&#39;s Dream Cake?,"Tasty Chef Alexis competes against guest chef Marcus Samuelsson to turn Mia's mermaid drawing into a delicious, real-world dish. Whose food will make the ...",https://i.ytimg.com/vi/JoBHUKnBUbc/default.jpg
2018-05-04T19:00:15Z,How To Cook Meals Kids Will Love,Check us out on Facebook! - facebook.com/buzzfeedtasty Credits: https://www.buzzfeed.com/bfmp/videos/54170 MUSIC Licensed via Audio Network.,https://i.ytimg.com/vi/m3MgAOe2zSs/default.jpg
2017-05-23T22:00:16Z,Easy Poke Cake 4 Ways,"Impress at your next party with one of these 4 cakes! Poke away, Friends! Here is what you'll need! Easy Poke Cake 4 Ways Berry Cheesecake Poke Cake ...",https://i.ytimg.com/vi/UJS81tX1Thk/default.jpg
2017-06-10T22:00:03Z,Loaded Baked Potatoes 4 Ways,Here is what you'll need! LOADED BAKED POTATOES 4 WAYS Bacon Cheddar Baked Potato Servings: 3 INGREDIENTS 3 russet potatoes 2 tablespoons olive ...,https://i.ytimg.com/vi/9gsuZvX7GpU/default.jpg
2017-05-22T00:10:14Z,Strawberry Cheesecake Macarons,"Here is what you'll need! STRAWBERRY CHEESECAKE MACARONS Servings: 16 INGREDIENTS 3 eggs whites, room temperature ¼ cup sugar 1¾ cup ...",https://i.ytimg.com/vi/igkltgvKSh8/default.jpg
2017-04-26T22:00:36Z,Homemade Oreos,"Here is what you'll need! HOMEMADE OREOS Makes about 40 sandwich cookies INGREDIENTS Cookie 1 cup unsalted butter, softened 1 cup white sugar 2 ...",https://i.ytimg.com/vi/XskGHoqYBtE/default.jpg
2017-12-17T17:00:07Z,Puff Pastry Decorations 4 Ways,Check us out on Facebook! - facebook.com/buzzfeedtasty Credits: https://www.buzzfeed.com/bfmp/videos/40752 MUSIC Thang Licensed via Warner Chappell ...,https://i.ytimg.com/vi/jQVMNHWhWhM/default.jpg
2016-10-30T14:00:03Z,Baked Potato Chips 4 Ways,Here is what you'll need! Baked Potato Chips 4 Ways Serves: 2-3 servings (per recipe) BBQ Chips 3 gold potatoes 1 tablespoon cooking oil 1 tablespoon ...,https://i.ytimg.com/vi/kgvowYMKk24/default.jpg
2019-11-18T17:00:00Z,How To Build The Ultimate Cheese Board • Tasty,"Impress all your guests this holiday season with the ultimate cheese board, it's almost too pretty to eat! Special thanks to Lady and Larder for the cheese board ...",https://i.ytimg.com/vi/-PNDmXXbWWQ/default.jpg
2018-06-09T15:00:09Z,I Tried To Re-Create This Giant Ramen,"""OMG, that really is large!"" Shop the Tasty kitchenware collection here: http://bit.ly/2IooLS4 Check us out on Facebook! - facebook.com/buzzfeedtasty Credits: ...",https://i.ytimg.com/vi/iKI6z9dcjMg/default.jpg
2018-06-16T15:00:06Z,I Tried To Re-Create This Flaming Cheese Wheel Pasta,"""OMG, that's a lot of fire."" Shop the Tasty kitchenware collection here: http://bit.ly/2IooLS4 Check us out on Facebook! - facebook.com/buzzfeedtasty Credits: ...",https://i.ytimg.com/vi/S6enIZ2qxEo/default.jpg
2019-08-02T15:00:17Z,Can This Chef Make Twinkies Fancy? • Tasty,"About Tasty: The official YouTube channel of all things Tasty, the world's largest food network. From recipes, world-class talent, and top-of-the-line cookware, we ...",https://i.ytimg.com/vi/s-G74EQIwEQ/default.jpg
2019-03-02T16:00:03Z,I Tried To Re-Create This $180 Sandwich • Eating Your Feed • Tasty,"""I think I can do this, and I think it's going to be a really delicious day."" Eating Your Feed now has merch! Check it out: https://bzfd.it/shopeatingyourfeed ...",https://i.ytimg.com/vi/_wRA47V3abk/default.jpg
2018-02-04T17:00:23Z,4 Dinners From Tasty Japan,Here is what you'll need! GYOZA DUMPLINGS WITH WINGS Servings: 30 INGREDIENTS Gyoza Dumplings 150 grams (5.3 ounces) minced pork 1 teaspoon ...,https://i.ytimg.com/vi/sX_dZYL75vI/default.jpg
2020-11-28T16:00:30Z,I Made A Giant 100-Pound Boba Milk Tea • Tasty,"Tasty Tasty The official YouTube channel of all things Tasty, the world's largest food network. From recipes, world-class talent, and top-of-the-line cookware, we ...",https://i.ytimg.com/vi/uOJQbqwsfLg/default.jpg
2018-12-09T17:00:01Z,Holiday Butter Cookies As Made By Kelsey Impicciche,Holiday family time becomes even sweeter when you make these super soft butter cookies together! Follow Kelsey on Instagram: ...,https://i.ytimg.com/vi/6kU5K_Ntx8Q/default.jpg
2018-11-09T16:00:02Z,Can These Chefs Create A Kid&#39;s Dream Cake?,"Tasty Chef Alexis competes against guest chef Marcus Samuelsson to turn Mia's mermaid drawing into a delicious, real-world dish. Whose food will make the ...",https://i.ytimg.com/vi/JoBHUKnBUbc/default.jpg
2018-05-04T19:00:15Z,How To Cook Meals Kids Will Love,Check us out on Facebook! - facebook.com/buzzfeedtasty Credits: https://www.buzzfeed.com/bfmp/videos/54170 MUSIC Licensed via Audio Network.,https://i.ytimg.com/vi/m3MgAOe2zSs/default.jpg
2017-05-23T22:00:16Z,Easy Poke Cake 4 Ways,"Impress at your next party with one of these 4 cakes! Poke away, Friends! Here is what you'll need! Easy Poke Cake 4 Ways Berry Cheesecake Poke Cake ...",https://i.ytimg.com/vi/UJS81tX1Thk/default.jpg
2018-07-07T15:00:25Z,We Tried To Make Mozzarella,"""It's like freshly shampooed hair."" Shop the Tasty kitchenware collection here: http://bit.ly/2IooLS4 Check us out on Facebook! - facebook.com/buzzfeedtasty ...",https://i.ytimg.com/vi/MXZrwK-qFXo/default.jpg
2017-02-27T18:00:03Z,4 Ways To Cook Salmon,"Here is what you'll need! 4 Ways To Cook Salmon Poached Salmon INGREDIENTS 6 ounces skinless salmon fillet Salt, to taste Pepper, to taste Peppercorns, ...",https://i.ytimg.com/vi/b0ahREpQqsM/default.jpg
2018-10-26T15:00:05Z,Can These Chefs Create These Twin&#39;s Magical Feast?,"Tasty Chefs Alix and Alexis compete to turn twins Drew and Carter's wizard drawing into a delicious, real-world dish. Whose dish will slay the dragon? Follow ...",https://i.ytimg.com/vi/gphcNDhK5jY/default.jpg
2017-11-24T23:00:13Z,5 Hearty Slow Cooker Recipes,Here is what you'll need! https://tasty.co/recipe/slow-cooker-ribs https://tasty.co/recipe/slow-cooker-pot-roast-1 ...,https://i.ytimg.com/vi/y1vm2pncEwQ/default.jpg
2017-12-15T17:00:06Z,Homemade Vs. Store-bought: Chocolate Chip Cookies,Here is what you'll need! https://tasty.co/recipe/the-best-chewy-chocolate-chip-cookies Check us out on Facebook! - facebook.com/buzzfeedtasty Credits: ...,https://i.ytimg.com/vi/PMQhCJWCiUk/default.jpg
2019-01-29T17:00:01Z,How To Perfectly Braise Beef • Tasty,This braised beef is worth the wait. Learn how we make perfectly tender pieces using Kroger's freshest meat 🥩,https://i.ytimg.com/vi/GOvBBo5IXtE/default.jpg
2017-08-31T22:00:51Z,Rainbow Crepe Cake,"Here is what you'll need! RAINBOW CREPE CAKE Servings: 10-12 INGREDIENTS 6 tablespoons butter, melted 3 cups milk 6 eggs 2¼ cups flour 7 tablespoons ...",https://i.ytimg.com/vi/D7KKCvgGNjI/default.jpg
2019-01-01T20:00:00Z,How To Roast Vegetables • Tasty,Learn how to love and roast your vegetables with this video! Subscribe to Tasty: https://bzfd.it/2ri82Z1 About Tasty: The official YouTube channel of all things ...,https://i.ytimg.com/vi/NCHnpfbD894/default.jpg
2018-12-14T16:00:09Z,I Made A Giant 30-Pound Burger,14 pounds of beef. 10 pounds of dough. 6 pounds of cheese. This burger is going to be 56 times the size of a regular burger. Joe Sasto shows us how to make ...,https://i.ytimg.com/vi/z4L2E6_Gmkk/default.jpg
2018-06-08T16:00:19Z,I Tried To Make A Pie With Zero Waste,"""This apple is very slippery..."" Check us out on Facebook! - facebook.com/buzzfeedtasty Credits: https://www.buzzfeed.com/bfmp/videos/56057 MUSIC SFX ...",https://i.ytimg.com/vi/QUP8vf18oWA/default.jpg
2019-07-13T15:00:01Z,Can This Chef Make SPAM Fancy? • Tasty,"About Tasty: The official YouTube channel of all things Tasty, the world's largest food network. From recipes, world-class talent, and top-of-the-line cookware, we ...",https://i.ytimg.com/vi/9KBQl5HAlWk/default.jpg
2018-11-22T00:00:05Z,How to Make the Silkiest Chocolate Tart with Rie,Follow Rie on Instagram @thedessertsnob Check us out on Facebook! - facebook.com/buzzfeedtasty Credits: https://www.buzzfeed.com/bfmp/videos/70488 ...,https://i.ytimg.com/vi/jv1M3cnJAPQ/default.jpg
2017-12-22T02:00:19Z,Candy Bark 4 Ways,Check us out on Facebook! - facebook.com/buzzfeedtasty Credits: https://www.buzzfeed.com/bfmp/videos/41426 MUSIC Licensed via Audio Network.,https://i.ytimg.com/vi/qlRUVJiEN-w/default.jpg
2016-12-04T00:00:02Z,7 Easy Chicken Dinners,Check us out on Facebook! - facebook.com/buzzfeedtasty Visit these links for the recipes: One-Pot Chicken Fajita Pasta ...,https://i.ytimg.com/vi/dfR_LdA3fPI/default.jpg
2018-03-03T20:00:25Z,Matcha Macarons,Check us out on Facebook! - facebook.com/buzzfeedtasty Credits: https://www.buzzfeed.com/bfmp/videos/49563 MUSIC Licensed via Audio Network.,https://i.ytimg.com/vi/On7TvTDOyMQ/default.jpg
2017-08-10T19:30:29Z,4 Back-To-School Lunches,Here is what you'll need! Turkey & Cream Cheese Pinwheels Servings: 1 INGREDIENTS 2 slices whole wheat bread 2 tablespoons cream cheese 2 leaves ...,https://i.ytimg.com/vi/3JmiaernpQM/default.jpg
2018-10-25T15:00:07Z,We Tried To Make Pizzas With Zero Waste,"""Good night, dough babies."" Grow your own fresh herbs with Goodful's AeroGarden: https://bit.ly/2yDJNZA Subscribe to Goodful's YouTube channel: ...",https://i.ytimg.com/vi/rp-TqMxdfMY/default.jpg
2018-07-29T22:00:57Z,4 DIY Chipotle Recipes,Check us out on Facebook! - facebook.com/buzzfeedtasty Credits: https://www.buzzfeed.com/bfmp/videos/63214 MUSIC Licensed via Audio Network.,https://i.ytimg.com/vi/Y_1LwzLBL2U/default.jpg
2018-11-18T20:00:01Z,This Chef Can Make 128 Noodles in 10 Seconds,Check us out on Facebook! - facebook.com/buzzfeedtasty Credits: https://www.buzzfeed.com/bfmp/videos/69475 MUSIC Licensed via Audio Network Suite No.,https://i.ytimg.com/vi/S2AnYEheaFM/default.jpg
2018-03-28T19:00:37Z,How To Make Mesmerizing Japanese Desserts,Check us out on Facebook! - facebook.com/buzzfeedtasty Credits: https://www.buzzfeed.com/bfmp/videos/51918 MUSIC Licensed via Audio Network.,https://i.ytimg.com/vi/HxuHo62reRw/default.jpg
2018-12-12T21:30:00Z,How To Make 5-Layer Brownie Cookie Cheesecake With Alvin,Check us out on Facebook! - facebook.com/buzzfeedtasty Credits: https://www.buzzfeed.com/bfmp/videos/73240 MUSIC Licensed via Audio Network.,https://i.ytimg.com/vi/mD3zgSTyc1o/default.jpg
2018-08-26T15:01:00Z,100-Layer Giant Crepe Cake Challenge: Behind Tasty,Can Scott face the challenge of making a100-layer crepe cake? Check us out on Facebook! - facebook.com/buzzfeedtasty Credits: ...,https://i.ytimg.com/vi/EOwTPLMhfJY/default.jpg
2017-10-01T18:00:51Z,4 Homemade Korean-Style Dinners,Here is what you'll need! Check us out on Facebook! - facebook.com/buzzfeedtasty Credits: https://www.buzzfeed.com/bfmp/videos/32236 MUSIC Licensed via ...,https://i.ytimg.com/vi/5a-695WHvS0/default.jpg
2018-07-15T15:00:47Z,The Best Homemade Pizza You&#39;ll Ever Eat,Check us out on Facebook! - facebook.com/buzzfeedtasty Credits: https://www.buzzfeed.com/bfmp/videos/60154 MUSIC Summer-Sketches-5-(Sting) Licensed ...,https://i.ytimg.com/vi/sv3TXMSv6Lw/default.jpg
2018-02-13T20:00:16Z,Easy Homemade 2-Ingredient Dough,Check us out on Facebook! - facebook.com/buzzfeedtasty Credits: https://www.buzzfeed.com/bfmp/videos/46812 MUSIC Licensed via Audio Network.,https://i.ytimg.com/vi/dqRp7Z93JBw/default.jpg
2018-04-14T16:00:20Z,7 Tricks To A Perfect Beef Stroganoff,Check us out on Facebook! - facebook.com/buzzfeedtasty Credits: https://www.buzzfeed.com/bfmp/videos/53548 MUSIC Licensed via Audio Network.,https://i.ytimg.com/vi/XmrR_ocSGL8/default.jpg
2019-10-12T15:00:06Z,I Made Giant 50-Pound Spaghetti And Meatballs For Kalen Allen from Kalen Reacts • Tasty,The meatballs looks like Piranha Plant.” Follow Alvin for more food adventures: https://www.instagram.com/alvinzhoupwns Check out Kalen Allen: ...,https://i.ytimg.com/vi/mY4AmqIRTZI/default.jpg
2018-06-21T16:00:32Z,Pancake Art With Get Caked,Check us out on Facebook! - facebook.com/buzzfeedtasty Credits: https://www.buzzfeed.com/bfmp/videos/59909 MUSIC Chasing Dreams_Fullmix Licensed via ...,https://i.ytimg.com/vi/jKWLiWO2BGs/default.jpg
2019-01-13T16:00:00Z,A Day In The Life Of A Sushi Master • Tasty,"From breaking down huge fish to serving guests exquisite sushi, Chef Nozomu Abe from Sushi Noz takes us on a journey through his everyday life. Go behind ...",https://i.ytimg.com/vi/3wAQxJeyyXo/default.jpg
2020-10-23T19:00:01Z,Can This Chef Make Oreos Fancy? • Tasty,Rie attempts to use Oreos in one of her most ambitious recipes yet! Get the latest Make It Fancy MERCH at: http://www.shopmakeitfancy.com Follow Rie on ...,https://i.ytimg.com/vi/0lwstn9bHW0/default.jpg
2018-08-16T22:00:09Z,Best Ever Vegan Ice Cream,Check us out on Facebook! - facebook.com/buzzfeedtasty Credits: https://www.buzzfeed.com/bfmp/videos/64307 MUSIC Licensed via Audio Network.,https://i.ytimg.com/vi/GskNlVKw9sc/default.jpg
2018-06-20T22:00:16Z,Salted Malted Cookie Dough Ice Cream As Made By Tyler Malek,visit www.saltandstraw.com for even more flavors and to find the location nearest you! Get the recipe!,https://i.ytimg.com/vi/HFkeIy_eb3A/default.jpg
2018-11-16T17:59:54Z,How To Make Spaghetti And Meatballs,A simple spaghetti and meatball recipe is a staple dish everyone should know how to cook! Don't worry! We're here to help! Check us out on Facebook!,https://i.ytimg.com/vi/gIe2CJYwkj8/default.jpg
2018-06-22T22:00:26Z,Homemade Chocolate-Covered Ice Cream Cones,Check us out on Facebook! - facebook.com/buzzfeedtasty Credits: https://www.buzzfeed.com/bfmp/videos/60144 MUSIC Caribbean Flair_fullmix Licensed via ...,https://i.ytimg.com/vi/ytasjk6GRD4/default.jpg
2018-11-11T23:00:00Z,Keto Bacon Cauliflower &quot;Mac&quot; and Cheese,Check us out on Facebook! - facebook.com/buzzfeedtasty Credits: https://www.buzzfeed.com/bfmp/videos/68598 MUSIC Licensed via Audio Network.,https://i.ytimg.com/vi/_iQ-Rb1ohDU/default.jpg
2019-11-04T17:00:02Z,How Honey Is Made • Tasty,Can you bee-lieve how soothing it is to make honey? Shop the NEW Tasty Merch: https://bzfd.it/shoptastyyoutube Subscribe to Tasty: https://bzfd.it/2ri82Z1 ...,https://i.ytimg.com/vi/HAED3riiZkw/default.jpg
2018-06-14T16:00:11Z,Carne Asada TacosWay,mr.tacosway came in to the studio to show us how he innovated the mulita to create a TacosWay! Get the recipe here!,https://i.ytimg.com/vi/m7RVCPoYggc/default.jpg
2020-04-02T19:00:24Z,Can Bad Bunny Make A Tasty Recipe? • Tasty,"Bad Bunny loves food and he loves Tasty, so we invited him to our office to make a Tasty Recipe video of his own. Check out the behind the scenes footage and ...",https://i.ytimg.com/vi/qQcU5SZ7lRU/default.jpg
2017-05-08T22:00:53Z,How To Sharpen Dull Knives,"Here is what you'll need! Check out the Tasty One-Stop Shop for cookbooks, aprons, hats, and more at TastyShop.com: http://bit.ly/2mEBY0e. Check us out on ...",https://i.ytimg.com/vi/Wk3scs5FqCY/default.jpg
2018-01-30T02:00:22Z,Eggplant Dinners 4 Ways,Check us out on Facebook! - facebook.com/buzzfeedtasty Credits: https://www.buzzfeed.com/bfmp/videos/44063 MUSIC Licensed via Audio Network.,https://i.ytimg.com/vi/3X5pJ6R1AZY/default.jpg
2017-05-20T16:00:51Z,Baked Fruit &amp; Veggie Chips 4 Ways,Here is what you'll need! Baked Fruit & Veggie Chips 4 Ways Zucchini Chips INGREDIENTS 1 large zucchini 2 tablespoons olive oil ¼ teaspoon salt ½ ...,https://i.ytimg.com/vi/w_3C5BrdPYo/default.jpg
2018-05-04T16:00:23Z,Couple Tries Home-Cooked vs. $120 Roast Chicken,"One couple, two dates. It's Night In vs Night Out! Shop the Tasty kitchenware collection here: http://bit.ly/2IooLS4 Check us out on Facebook!",https://i.ytimg.com/vi/qCFb7U2s8cE/default.jpg
2018-01-12T02:00:01Z,Easy Vegan Weeknight Dinners,Check us out on Facebook! - facebook.com/buzzfeedtasty Credits: https://www.buzzfeed.com/bfmp/videos/41498 MUSIC Licensed via Audio Network.,https://i.ytimg.com/vi/htYzPUQvhgs/default.jpg
2018-05-24T22:00:39Z,Sweet Potato and Chickpea Salad,,https://i.ytimg.com/vi/GXZXq7cb8P0/default.jpg
2019-12-21T16:00:08Z,I Tried To Re-Create This Cheesy Bread Cube • Eating Your Feed • Tasty,This time Rie has been challenged! Shop the NEW Tasty Merch: https://bzfd.it/shoptastyyoutube Subscribe to Tasty: https://bzfd.it/2ri82Z1 About Tasty: The ...,https://i.ytimg.com/vi/c989XY-icko/default.jpg
2017-05-18T01:00:13Z,7 Easy Steak Dinners,Check us out on Facebook! - facebook.com/buzzfeedtasty Credits: https://www.buzzfeed.com/bfmp/videos/17701 MUSIC Tastes Like Chicken Mcm Licensed via ...,https://i.ytimg.com/vi/AnP43TONiX0/default.jpg
2017-11-26T16:00:10Z,Tasty 101: How To Cook Burgers,Check us out on Facebook! - facebook.com/buzzfeedtasty Credits: https://www.buzzfeed.com/bfmp/videos/30706 MUSIC SFX Provided By AudioBlocks ...,https://i.ytimg.com/vi/0asPIGtVi8A/default.jpg
2018-12-20T17:00:05Z,Jacqueline Tris Makes Mexican Piggy Gingerbread Cookies (Marranitos De Piloncillo),"Our favorite little piggies from Mexico… just add coffee! Made in our LG ProBake Convection® Oven Oven for a perfect rise, every time. Get the recipe: ...",https://i.ytimg.com/vi/l2UNs9W7YUw/default.jpg
2020-01-27T17:00:00Z,Single Woman Chooses A Man To Date Based On Their Breakfast Dishes • Tasty,"3 breakfast dishes, 1 date! Who will she choose? Shop the NEW Tasty Merch: https://bzfd.it/shoptastyyoutube Subscribe to Tasty: https://bzfd.it/2ri82Z1 About ...",https://i.ytimg.com/vi/3j_FyDbw-bo/default.jpg
2019-03-07T20:30:01Z,Showstopping Chocolate Berry Charlotte • Tasty,"About Tasty: The official YouTube channel of all things Tasty, the world's largest food network. From recipes, world-class talent, and top-of-the-line cookware, we ...",https://i.ytimg.com/vi/ZqN74WouJDw/default.jpg
2017-04-03T16:00:37Z,Lemon Ricotta Pancakes,Here is what you'll need! LEMON RICOTTA PANCAKES Makes: 6 pancakes INGREDIENTS Pancakes 1 cup ricotta cheese 2 egg yolks ¾ cup milk ½ teaspoon ...,https://i.ytimg.com/vi/-K52Ox-IYR0/default.jpg
2019-09-14T15:00:05Z,Can This Chef Make A 3-Course Meal With An Easy Bake Oven? • Tasty,"As a kid, I dreamt about having an Easy Bake Oven, and now my dream is my nightmare.” Subscribe to Tasty: https://bzfd.it/2ri82Z1 About Tasty: The official ...",https://i.ytimg.com/vi/c324y0OVqVI/default.jpg
2018-02-14T20:00:29Z,Ultimate Sheet Pan Party Recipes,Check us out on Facebook! - facebook.com/buzzfeedtasty Credits: https://www.buzzfeed.com/bfmp/videos/47716 MUSIC Licensed via Audio Network.,https://i.ytimg.com/vi/J2OEtq0ECQU/default.jpg
2017-12-23T02:00:35Z,5 Amazing Meatball Recipes,Check us out on Facebook! - facebook.com/buzzfeedtasty Credits: https://www.buzzfeed.com/bfmp/videos/40761 MUSIC good_life_forever Licensed via Warner ...,https://i.ytimg.com/vi/WzNVw9VWPrU/default.jpg
2017-11-20T15:00:09Z,Show-Stopping Beef Wellington,Check us out on Facebook! - facebook.com/buzzfeedtasty Credits: https://www.buzzfeed.com/bfmp/videos/37299 MUSIC Step Into the Blue Licensed via Warner ...,https://i.ytimg.com/vi/n_zWbPDWaaM/default.jpg
2019-06-15T15:00:03Z,I Made A Giant 20-Pound Jiggly Cheesecake • Tasty,IT'S SO JIGGLY! I LOVE IT SO MUCH!” JASMINE PAK - https://www.instagram.com/jasminepak/ Subscribe to Tasty: https://bzfd.it/2ri82Z1 About Tasty: The official ...,https://i.ytimg.com/vi/G3HfLZiuBnk/default.jpg
2019-06-04T16:00:05Z,Rie’s 4 Favorite Yakisoba Recipes • Tasty,"About Tasty: The official YouTube channel of all things Tasty, the world's largest food network. From recipes, world-class talent, and top-of-the-line cookware, we ...",https://i.ytimg.com/vi/KxhB21GfUlA/default.jpg
